자아, 79, 159
마타, 70, 175
마나, 46, 154
카사, 70, 199
다하, 91, 172
아아, 43, 166
사가, 54, 164
차파, 43, 182
마하, 70, 183
라나, 60, 149
라카, 68, 140
바마, 47, 148
파파, 48, 191
아다, 80, 196
다차, 72, 169
사하, 95, 168
다사, 53, 182
다하, 56, 159
가마, 66, 194
아사, 96, 192
라마, 61, 155
파차, 58, 198
가카, 69, 170
하라, 61, 171
바바, 85, 173
아하, 58, 190
차파, 68, 171
마라, 57, 181
사가, 81, 168
나마, 68, 189
다하, 73, 169
마다, 42, 177
바차, 60, 190
나파, 89, 182
타파, 97, 173
나나, 85, 140
라타, 83, 158
다다, 85, 179
카나, 95, 145
하자, 87, 187
하카, 81, 159
사차, 57, 156
사타, 80, 191
마라, 52, 185
자라, 75, 144
아가, 61, 159
사가, 69, 192
하가, 54, 172
차가, 41, 174
차차, 65, 198
자자, 79, 167
차아, 99, 186
다차, 68, 177
자하, 65, 176
가마, 99, 140
자가, 41, 155
다가, 95, 166
파아, 81, 194
아다, 81, 149
하카, 93, 158
나하, 59, 148
사바, 47, 187
하카, 59, 180
차하, 60, 153
바타, 85, 177
바바, 95, 153
나가, 73, 168
라라, 91, 144
하아, 74, 146
라카, 99, 177
하다, 75, 158
차가, 57, 168
차하, 79, 196
마다, 77, 161
라카, 88, 170
타나, 58, 177
카파, 63, 155
하바, 76, 184
자가, 78, 145
가자, 99, 175
하나, 62, 193
라바, 92, 190
자바, 81, 177
차다, 46, 162
마마, 62, 194
나파, 85, 195
차자, 86, 148
자타, 80, 144
바자, 87, 156
사나, 91, 140
바아, 89, 174
라바, 86, 144
가가, 63, 193
카카, 62, 141
사타, 99, 174
다바, 57, 168
바마, 88, 178
바차, 73, 181
바라, 48, 163
사나, 88, 172
파라, 84, 183
사아, 80, 182
가아, 63, 148
카카, 97, 157
나마, 52, 173
파사, 94, 182
나하, 77, 158
파자, 95, 144
자카, 97, 183
다나, 55, 161
나바, 55, 164
하카, 87, 145
가가, 90, 190
차나, 49, 177
하차, 76, 152
차다, 47, 140
사가, 89, 177
차가, 98, 158
다바, 83, 193
파아, 44, 161
다나, 43, 176
라가, 90, 155
파자, 97, 160
다마, 71, 166
마파, 97, 180
마파, 50, 167
차자, 75, 190
다나, 97, 185
라바, 98, 199
다라, 99, 162
타바, 94, 171
바라, 89, 182
라마, 45, 146
바마, 60, 168
자타, 77, 179
차마, 69, 151
카파, 82, 140
나가, 47, 146
바가, 72, 160
가사, 43, 197
가나, 76, 155
차자, 93, 163
라가, 54, 199
사자, 70, 172
가마, 42, 164
다라, 62, 150
차타, 45, 195
하카, 73, 196
자차, 56, 144
다파, 97, 199
아파, 64, 171
자차, 90, 181
나자, 81, 196
마가, 96, 165
차나, 93, 185
아파, 93, 165
카자, 41, 167
카가, 74, 176
사아, 68, 186
아바, 80, 160
다아, 82, 191
바다, 56, 164
가나, 41, 182
차다, 60, 185
라다, 93, 198
바타, 57, 156
가다, 41, 147
라차, 80, 181
차타, 82, 155
바바, 69, 170
바카, 62, 171
하다, 81, 160
파나, 69, 196
바다, 75, 178
자다, 91, 176
다타, 52, 184
나타, 61, 188
나하, 88, 166
자마, 96, 146
라카, 46, 174
라차, 99, 189
카가, 84, 186
다카, 73, 145
다차, 97, 151
자타, 58, 174
차카, 55, 189
파파, 91, 153
자사, 98, 153
다사, 89, 147
가다, 97, 195
바나, 69, 146
마자, 69, 162
아카, 67, 152
나바, 61, 159
가타, 97, 153
바라, 78, 197
타바, 55, 182
파라, 61, 160
파나, 68, 159
라마, 66, 159
차아, 46, 163
자바, 86, 160
마자, 96, 187
가라, 85, 198
바나, 94, 154
카차, 95, 181
자아, 66, 173
사다, 75, 168
차하, 42, 190
다아, 49, 179
파파, 67, 152
라타, 69, 149
타사, 95, 198
가다, 64, 191
가마, 56, 189
가차, 43, 171
자차, 65, 189
사마, 82, 177
나가, 56, 142
바아, 71, 185
바하, 82, 197
차나, 47, 163
자나, 77, 159
사타, 70, 162
하바, 71, 147
나카, 51, 177
자나, 63, 170
차마, 52, 190
자마, 73, 157
카바, 66, 159
바다, 53, 148
아자, 47, 157
바라, 88, 152
사바, 81, 160
자사, 68, 196
타차, 55, 169
마다, 42, 196
다다, 44, 189
라나, 89, 154
라자, 63, 170
사가, 67, 179
마나, 55, 157
아아, 82, 190
나자, 98, 177
타마, 44, 199
사카, 76, 144
자사, 70, 151
가차, 93, 156
타가, 92, 154
타카, 41, 144
카나, 58, 191
타사, 94, 182
라하, 67, 151
가라, 65, 161
자라, 82, 168
나자, 74, 160
파카, 89, 195
타자, 72, 172
자사, 43, 158
하다, 43, 153
차마, 76, 149
아가, 75, 152
나나, 42, 177
자아, 55, 153
다가, 85, 179
자타, 47, 154
타파, 43, 175
자마, 82, 196
아라, 67, 141
사파, 81, 183
카아, 89, 182
파아, 49, 165
다바, 51, 148
카아, 48, 175
사사, 70, 169
자파, 51, 171
라차, 90, 199
파타, 49, 152
아자, 69, 171
다라, 53, 167
차나, 79, 172
마아, 82, 179
카마, 42, 187
하카, 44, 145
자사, 56, 164
나라, 86, 195
자아, 41, 181
아자, 72, 159
차가, 40, 178
마사, 46, 195
다마, 81, 163
가마, 82, 199
마자, 93, 199
나타, 90, 195
다아, 91, 172
파타, 76, 180
라바, 45, 192
차파, 92, 189
하마, 57, 177
카가, 87, 180
카파, 82, 150
파카, 42, 199
가가, 82, 189
차카, 71, 188
다아, 89, 164
파사, 52, 141
가마, 50, 144
타차, 61, 182
자파, 99, 191
사차, 50, 162
자사, 63, 169
사다, 53, 169
카아, 57, 144
나사, 57, 173
자라, 40, 159
차다, 40, 154
가차, 51, 184
아파, 84, 149
라가, 72, 194
나라, 75, 155
차사, 87, 163
파나, 44, 177
다타, 75, 154
차라, 86, 167
라마, 40, 199
나바, 64, 171
나자, 92, 191
라바, 62, 164
바자, 70, 156
차사, 65, 151
자나, 65, 189
자타, 86, 185
라사, 95, 192
아바, 66, 176
나카, 55, 167
아가, 63, 160
파타, 77, 184
하하, 74, 194
바하, 51, 159
카다, 90, 148
아마, 76, 153
하파, 97, 173
자바, 71, 195
하하, 44, 153
마라, 42, 185
가나, 75, 158
차사, 84, 156
카아, 62, 168
가차, 66, 171
자마, 76, 149
바자, 93, 173
자마, 46, 144
바타, 80, 186
다자, 86, 185
